player_name|transfer_from|transfer_to|transfer_from_id|transfer_to_id|tm_player_id
Héctor Villalba|CA San Lorenzo de Almagro|Atlanta United FC|1775|51663|237061
Pity Martínez|CA River Plate|Atlanta United FC|209|51663|281405
Giorgos Giakoumakis|Celtic FC|Atlanta United FC|371|51663|234850
Saba Lobzhanidze|Hatayspor|Atlanta United FC|7775|51663|
Stian Rode Gregersen|FC Girondins Bordeaux|Atlanta United FC|40|51663|230140
Aleksei Miranchuk|Atalanta BC|Atlanta United FC|800|51663|255450
Brandon Vázquez|CF Monterrey|Austin FC|2407|72309|389255
Jordy Alcívar|LDU Quito|Charlotte FC|9855|78435|598145
Karol Świderski|PAOK Thessaloniki|Charlotte FC|1091|78435|330126
Kamil Jóźwiak|Derby County|Charlotte FC|22|78435|289167
Nery Castillo|Shakhtar Donetsk|Chicago Fire FC|660|432|9711
Sherjill MacDonald|Beerschot AC|Chicago Fire FC|566|432|9604
Federico Puppo|Danubio FC|Chicago Fire FC|1306|432|74262
Egidio Arévalo Ríos|Club Tijuana|Chicago Fire FC|13353|432|54818
Juan Luis Anangonó|LDU Quito|Chicago Fire FC|1143|432|79758
Nemanja Nikolić|Legia Warszawa|Chicago Fire FC|255|432|102281
Aleksandar Katai|Deportivo Alavés|Chicago Fire FC|1108|432|139915
Robert Berić|AS Saint-Étienne|Chicago Fire FC|618|432|91415
Gastón Giménez|CA Vélez Sarsfield|Chicago Fire FC|1029|432|216758
Jairo Torres|Atlas Guadalajara|Chicago Fire FC|8590|432|371185
Oswaldo Minda|Deportivo Quito|CD Chivas USA|944|6642|82718
Erick Torres|Deportivo Guadalajara|CD Chivas USA|6711|6642|170016
Fanendo Adi|Portland Timbers|FC Cincinnati|4291|51772|79654
Guillermo Barros Schelotto|CA Boca Juniors|Columbus Crew|189|813|3414
Fabián Castillo|Deportivo Cali|FC Dallas|9961|8816|131096
Julian de Guzman|Toronto FC|FC Dallas|11141|8816|1083
Andrés Escobar|Dynamo Kyiv|FC Dallas|338|8816|102153
Pablo Aránguiz|Unión Española|FC Dallas|4321|8816|369850
Luciano Emílio|CD Olimpia|D.C. United|2720|2440|851111
Marcelo Gallardo|Paris Saint-Germain|D.C. United|583|2440|5298
Branko Bošković|Rapid Vienna|D.C. United|170|2440|9090
Dwayne De Rosario|New York Red Bulls|D.C. United|623|2440|38214
Hamdi Salihi|Rapid Vienna|D.C. United|170|2440|29447
Rafael Gladiador|Esporte Clube Bahia|D.C. United|10010|2440|179374
Fabián Espíndola|New York Red Bulls|D.C. United|623|2440|59528
Matti Peltola|HJK Helsinki|D.C. United|1008|2440|592379
Luis Ángel Landín|Club Atlético Morelia|Houston Dynamo FC|5623|9168|39869
Alexander López|CD Olimpia|Houston Dynamo FC|2720|9168|119247
Erick Torres|Deportivo Guadalajara|Houston Dynamo FC|6711|9168|170016
Tomás Martínez|SC Braga|Houston Dynamo FC|1075|9168|271438
Ondřej Lingr|SK Slavia Prague|Houston Dynamo FC|62|9168|321195
Alejandro Pozuelo|Toronto FC|Inter Miami CF|11141|69261|188853
Germán Berterame|CF Monterrey|Inter Miami CF|2407|69261|401572
Roger Espinoza|Wigan Athletic|Sporting Kansas City|1071|4284|71096
Gerso Fernandes|CF Os Belenenses|Sporting Kansas City|68608|4284|197157
Yohan Croizet|KV Mechelen|Sporting Kansas City|354|4284|195910
Jelle Van Damme|Standard Liège|Los Angeles Galaxy|3057|1061|4323
Romain Alessandrini|Olympique Marseille|Los Angeles Galaxy|244|1061|98334
Son Heung-min|Tottenham Hotspur|Los Angeles FC|148|51828|
Ángelo Rodríguez|Deportes Tolima|Minnesota United FC|10503|56089|178116
Thomás Chacón|Danubio FC|Minnesota United FC|1306|56089|465676
Ménder García|Once Caldas|Minnesota United FC|6984|56089|585467
Ignacio Piatti|CA San Lorenzo de Almagro|CF Montréal|1775|4078|37433
Lucas Ontivero|Galatasaray|CF Montréal|141|4078|265916
Blerim Džemaili|Bologna FC 1909|CF Montréal|1025|4078|9967
Saphir Taïder|Bologna FC 1909|CF Montréal|1025|4078|144779
Aljaž Struna|Houston Dynamo FC|CF Montréal|9168|4078|108119
Aké Arnaud Loba|CF Monterrey|Nashville SC|2407|63966|515512
Jerry Bengtson|CD Motagua Tegucigalpa|New England Revolution|9708|626|148586
Jermaine Jones|Besiktas JK|New England Revolution|114|626|1321
José Gonçalves|FC Sion|New England Revolution|321|626|42303
Maximiliano Moralez|Club León FC|New York City FC|4941|40058|
Alexandru Mitriță|CS Universitatea Craiova|New York City FC|40812|40058|209649
Rafael Márquez|FC Barcelona|New York Red Bulls|131|623|2904
Gonzalo Verón|CA San Lorenzo de Almagro|New York Red Bulls|1775|623|133551
Omer Damari|RB Leipzig|New York Red Bulls|23826|623|112703
Eric Maxim Choupo-Moting|Bayern Munich|New York Red Bulls|27|623|45660
Carlos Rivas|Deportivo Cali|Orlando City SC|9961|45604|227390
José Kléberson|Esporte Clube Bahia|Philadelphia Union|10010|25467|3365
Bořek Dočkal|Henan FC|Philadelphia Union|9982|25467|62983
Bruno Damiani|Club Nacional|Philadelphia Union|866|25467|1110360
Diego Valeri|CA Lanús|Portland Timbers|333|4291|54588
Fanendo Adi|FC Copenhagen|Portland Timbers|190|4291|79654
Brian Fernández|Club Necaxa|Portland Timbers|1146|4291|267676
Jarosław Niezgoda|Legia Warszawa|Portland Timbers|255|4291|269446
David da Costa|RC Lens|Portland Timbers|826|4291|719442
Javier Morales|UD Vecindario (- 2015)|Real Salt Lake City|10496|6643|1064936
