player_name,transfer_from,transfer_to,transfer_from_id,transfer_to_id,tm_player_id
Héctor Villalba,CA San Lorenzo de Almagro,Atlanta United FC,1775,51663,
Pity Martínez,CA River Plate,Atlanta United FC,209,51663,
Giorgos Giakoumakis,Celtic FC,Atlanta United FC,371,51663,
Saba Lobzhanidze,Hatayspor,Atlanta United FC,7775,51663,
Stian Rode Gregersen,FC Girondins Bordeaux,Atlanta United FC,40,51663,
Aleksei Miranchuk,Atalanta BC,Atlanta United FC,800,51663,
Brandon Vázquez,CF Monterrey,Austin FC,2407,72309,
Jordy Alcívar,LDU Quito,Charlotte FC,9855,78435,
Karol Świderski,PAOK Thessaloniki,Charlotte FC,1091,78435,
Kamil Jóźwiak,Derby County,Charlotte FC,22,78435,
Nery Castillo,Shakhtar Donetsk,Chicago Fire FC,660,432,
Sherjill MacDonald,Beerschot AC,Chicago Fire FC,566,432,
Federico Puppo,Danubio FC,Chicago Fire FC,1306,432,
Egidio Arévalo Ríos,Club Tijuana,Chicago Fire FC,13353,432,
Juan Luis Anangonó,LDU Quito,Chicago Fire FC,1143,432,
Nemanja Nikolić,Legia Warszawa,Chicago Fire FC,255,432,
Aleksandar Katai,Deportivo Alavés,Chicago Fire FC,1108,432,
Robert Berić,AS Saint-Étienne,Chicago Fire FC,618,432,
Gastón Giménez,CA Vélez Sarsfield,Chicago Fire FC,1029,432,
Jairo Torres,Atlas Guadalajara,Chicago Fire FC,8590,432,
Oswaldo Minda,Deportivo Quito,CD Chivas USA,944,6642,
Erick Torres,Deportivo Guadalajara,CD Chivas USA,6711,6642,
Fanendo Adi,Portland Timbers,FC Cincinnati,4291,51772,
Guillermo Barros Schelotto,CA Boca Juniors,Columbus Crew,189,813,
Fabián Castillo,Deportivo Cali,FC Dallas,9961,8816,
Julian de Guzman,Toronto FC,FC Dallas,11141,8816,
Andrés Escobar,Dynamo Kyiv,FC Dallas,338,8816,
Pablo Aránguiz,Unión Española,FC Dallas,4321,8816,
Luciano Emílio,CD Olimpia,D.C. United,2720,2440,
Marcelo Gallardo,Paris Saint-Germain,D.C. United,583,2440,
Branko Bošković,Rapid Vienna,D.C. United,170,2440,
Dwayne De Rosario,New York Red Bulls,D.C. United,623,2440,
Hamdi Salihi,Rapid Vienna,D.C. United,170,2440,
Rafael Gladiador,Esporte Clube Bahia,D.C. United,10010,2440,
Fabián Espíndola,New York Red Bulls,D.C. United,623,2440,
Matti Peltola,HJK Helsinki,D.C. United,1008,2440,
Luis Ángel Landín,Club Atlético Morelia,Houston Dynamo FC,5623,9168,
Alexander López,CD Olimpia,Houston Dynamo FC,2720,9168,
Erick Torres,Deportivo Guadalajara,Houston Dynamo FC,6711,9168,
Tomás Martínez,SC Braga,Houston Dynamo FC,1075,9168,
Ondřej Lingr,SK Slavia Prague,Houston Dynamo FC,62,9168,
Alejandro Pozuelo,Toronto FC,Inter Miami CF,11141,69261,
Germán Berterame,CF Monterrey,Inter Miami CF,2407,69261,
Roger Espinoza,Wigan Athletic,Sporting Kansas City,1071,4284,
Gerso Fernandes,CF Os Belenenses,Sporting Kansas City,68608,4284,
Yohan Croizet,KV Mechelen,Sporting Kansas City,354,4284,
